18:22:22.482 | INFO | LOGIC | Warming up data feeds...
18:23:11.556 | INFO | HYPERLIQUID.OMS | sending following orders: []
18:23:14.558 | INFO | HYPERLIQUID.OMS | sending following orders: []
18:23:17.560 | INFO | HYPERLIQUID.OMS | sending following orders: []
18:23:20.562 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007374, size=5808.0, orderId=None, clientOrderId=0x00000000000000000000000000989692 (10000018)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007385, size=5808.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67696e (-10000018))]
18:23:23.711 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007372, size=5809.0, orderId=None, clientOrderId=0x00000000000000000000000000989693 (10000019)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007383, size=5809.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67696d (-10000019)), Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007356, size=7746.0, orderId=None, clientOrderId=0x00000000000000000000000001312d13 (20000019)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007399, size=7746.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2ed (-20000019))]
18:23:26.913 | INFO | HYPERLIQUID.OMS | sending following orders: []
18:23:29.916 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007376, size=5806.0, orderId=None, clientOrderId=0x00000000000000000000000000989695 (10000021)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007387, size=5806.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67696b (-10000021)), Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.00736, size=7741.0, orderId=None, clientOrderId=0x00000000000000000000000001312d15 (20000021)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007403, size=7741.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2eb (-20000021))]
18:23:33.183 | INFO | HYPERLIQUID.OMS | sending following orders: []
18:23:35.339 | CRITICAL | MM | Process manually interupted by user...
18:23:35.340 | CRITICAL | MM | Starting shutdown sequence...
18:23:35.478 | INFO | hyperliquid.EXCH | Shutdown sequence complete.
18:23:35.478 | INFO | MM | Goodnight...
